cp,asentamiento,municipio,zona,precio_envio
90210,San Mateo Aticpac,Calpulalpan,Lejana,150
90210,Amantla,Calpulalpan,Lejana,150
90210,San Benigno,Calpulalpan,Lejana,150
90210,Los Tres Hermanos,Calpulalpan,Lejana,150
90213,Las Palomas,Calpulalpan,Lejana,150
90218,San Vicente,Calpulalpan,Lejana,150
90218,Marcelino Cruz,Calpulalpan,Lejana,150
90218,Las Auras,Calpulalpan,Lejana,150
90218,El Piñón,Calpulalpan,Lejana,150
90220,La Soledad,Calpulalpan,Lejana,150
90220,Mazapa,Calpulalpan,Lejana,150
90220,Santa Cruz,Calpulalpan,Lejana,150
90220,Santa Teresa,Calpulalpan,Lejana,150
90220,La Palma,Calpulalpan,Lejana,150
90220,Santa Isabel Mixtitlán,Calpulalpan,Lejana,150
90220,San Francisco,Calpulalpan,Lejana,150
90220,La Ocotera,Calpulalpan,Lejana,150
90220,Jacarandas,Calpulalpan,Lejana,150
90220,Del Venado,Calpulalpan,Lejana,150
90220,El Cacalote,Calpulalpan,Lejana,150
90220,Monte de San Agustín,Calpulalpan,Lejana,150
90220,Hermanos García,Calpulalpan,Lejana,150
90220,Loma de San Agustín,Calpulalpan,Lejana,150
90220,Pacheco (De la Rosa),Calpulalpan,Lejana,150
90220,Analco Dos,Calpulalpan,Lejana,150
90220,Ángel Pelcastre,Calpulalpan,Lejana,150
90222,San Felipe Sultepec,Calpulalpan,Lejana,150
90222,Los Compadres,Calpulalpan,Lejana,150
90222,La Quebradora,Calpulalpan,Lejana,150
90222,Los Mogotes,Calpulalpan,Lejana,150
90224,San Marcos Guaquilpan,Calpulalpan,Lejana,150
90224,Santiago Cuaula,Calpulalpan,Lejana,150
90224,San Cristóbal Zacacalco,Calpulalpan,Lejana,150
90224,La Venta,Calpulalpan,Lejana,150
90224,El Rosario,Calpulalpan,Lejana,150
90224,Barranca del Tizar,Calpulalpan,Lejana,150
90224,Puente del Ocomique,Calpulalpan,Lejana,150
90225,San Rodrigo,Calpulalpan,Lejana,150
90225,Los Capulines,Calpulalpan,Lejana,150
90225,Los Palacios,Calpulalpan,Lejana,150
90225,Los Pinos,Calpulalpan,Lejana,150
90225,La Blanca,Calpulalpan,Lejana,150
90225,San José (Los Hornos),Calpulalpan,Lejana,150
90226,Finca Guadalupe Velázquez,Calpulalpan,Lejana,150
90226,San Juan Temazcales,Calpulalpan,Lejana,150
90226,San José,Calpulalpan,Lejana,150
90226,El Carmen,Calpulalpan,Lejana,150
90226,Zoquiapan,Calpulalpan,Lejana,150
90226,Gustavo Díaz Ordaz,Calpulalpan,Lejana,150
90226,Tlazalán,Calpulalpan,Lejana,150
90226,San Isidro,Calpulalpan,Lejana,150
90226,El Padrino,Calpulalpan,Lejana,150
90226,El Triángulo,Calpulalpan,Lejana,150
90230,Sanctórum,Sanctórum de Lázaro Cárdenas,Intermedia,100
90231,Francisco Villa,Sanctórum de Lázaro Cárdenas,Intermedia,100
90231,San Nicolás el Grande,Sanctórum de Lázaro Cárdenas,Intermedia,100
90231,Juan Antonio,Sanctórum de Lázaro Cárdenas,Intermedia,100
90231,San Nicolás (Farfán),Sanctórum de Lázaro Cárdenas,Intermedia,100
90233,Pachuquilla,Sanctórum de Lázaro Cárdenas,Intermedia,100
90234,Estación Contadero,Sanctórum de Lázaro Cárdenas,Intermedia,100
90234,Doña Evelia (Los Alpinos),Sanctórum de Lázaro Cárdenas,Intermedia,100
90234,Esquibajas,Sanctórum de Lázaro Cárdenas,Intermedia,100
90234,La Garita,Sanctórum de Lázaro Cárdenas,Intermedia,100
90234,La Presa de Pozuelos,Sanctórum de Lázaro Cárdenas,Intermedia,100
90234,La Providencia,Sanctórum de Lázaro Cárdenas,Intermedia,100
90234,Las Palomas,Sanctórum de Lázaro Cárdenas,Intermedia,100
90234,Los Alpinos,Sanctórum de Lázaro Cárdenas,Intermedia,100
90234,San Leonardo Arroyo,Sanctórum de Lázaro Cárdenas,Intermedia,100
90234,Santa Cruz,Sanctórum de Lázaro Cárdenas,Intermedia,100
90235,NCP Álvaro Obregón,Benito Juárez,Intermedia,100
90235,Benito Juárez,Benito Juárez,Intermedia,100
90235,Ampliación Progreso,Benito Juárez,Intermedia,100
90240,San Ildefonso Hueyotlipan,Hueyotlipan,Lejana,150
90240,Los Hornitos,Hueyotlipan,Lejana,150
90240,La Cañada,Hueyotlipan,Lejana,150
90240,El Jardín,Hueyotlipan,Lejana,150
90240,El Resumidero,Hueyotlipan,Lejana,150
90240,La Ardilla,Hueyotlipan,Lejana,150
90240,Los Caifanes (La Purísima),Hueyotlipan,Lejana,150
90240,Playa Azul,Hueyotlipan,Lejana,150
90241,San Simeon Xipetzinco,Hueyotlipan,Lejana,150
90243,San Andrés Cuaximala,Hueyotlipan,Lejana,150
90243,El Carmen (Las Carrozas),Hueyotlipan,Lejana,150
90243,Agua Limpia,Hueyotlipan,Lejana,150
90244,Santa María Ixcontla,Hueyotlipan,Lejana,150
90244,Santiago Tlalpan,Hueyotlipan,Lejana,150
90244,Las Tórtolas,Hueyotlipan,Lejana,150
90244,Potrero Grande,Hueyotlipan,Lejana,150
90244,San Manuel Tlalpan,Hueyotlipan,Lejana,150
90245,San Diego Recoba,Hueyotlipan,Lejana,150
90246,Ignacio Zaragoza,Hueyotlipan,Lejana,150
90246,Adolfo López Mateos,Hueyotlipan,Lejana,150
90246,Emilio Sánchez Piedras,Hueyotlipan,Lejana,150
90246,Hacienda San Blas Cuaxomulco,Hueyotlipan,Lejana,150
90247,La Cruz Techalote,Hueyotlipan,Lejana,150
90247,San Lorenzo Techalote,Hueyotlipan,Lejana,150
90247,Hacienda San Fernando,Hueyotlipan,Lejana,150
90247,Loma Bonita,Hueyotlipan,Lejana,150
90247,NCP San Antonio Techalote,Hueyotlipan,Lejana,150
90247,El Pilar,Hueyotlipan,Lejana,150
90247,La Purísima,Hueyotlipan,Lejana,150
90247,Santo Tomás (El Nopal),Hueyotlipan,Lejana,150
90247,San Antonio Techalote,Hueyotlipan,Lejana,150
90247,San Fernando,Hueyotlipan,Lejana,150
90247,Santa Lucía,Hueyotlipan,Lejana,150
90250,San José Atotonilco,Tlaxco,Intermedia,100
90250,José María Morelos Buenavista,Tlaxco,Intermedia,100
90250,Tlaxco,Tlaxco,Intermedia,100
90250,Tepatlaxco,Tlaxco,Intermedia,100
90250,San Juan,Tlaxco,Intermedia,100
90250,Ejidal,Tlaxco,Intermedia,100
90250,Iturbide,Tlaxco,Intermedia,100
90250,Postal,Tlaxco,Intermedia,100
90250,Las Ánimas,Tlaxco,Intermedia,100
90250,Xomitla,Tlaxco,Intermedia,100
90250,Las Maravillas,Tlaxco,Intermedia,100
90250,La Mesa del Cielo,Tlaxco,Intermedia,100
90250,Juan Arroyo (San Isidro),Tlaxco,Intermedia,100
90250,La Vega,Tlaxco,Intermedia,100
90250,Tablon de Guadalupe Payuca,Tlaxco,Intermedia,100
90250,Los Serranos,Tlaxco,Intermedia,100
90250,El Calvario,Tlaxco,Intermedia,100
90251,San Antonio Huexotitla,Tlaxco,Intermedia,100
90251,Guadalupe Huexotitla,Tlaxco,Intermedia,100
90251,Xochuca,Tlaxco,Intermedia,100
90251,NCPE la Herradura,Tlaxco,Intermedia,100
90253,Vista Hermosa,Tlaxco,Intermedia,100
90255,Acopinalco del Peñón,Tlaxco,Intermedia,100
90255,Grande,Tlaxco,Intermedia,100
90255,Chico,Tlaxco,Intermedia,100
90255,El Sabinal,Tlaxco,Intermedia,100
90255,Santiago Tlatepoxco,Tlaxco,Intermedia,100
90255,El Nacimiento,Tlaxco,Intermedia,100
90255,La Candelaria,Tlaxco,Intermedia,100
90256,El Rosario,Tlaxco,Intermedia,100
90257,San Pedro la Cueva,Tlaxco,Intermedia,100
90257,La Pedregosa,Tlaxco,Intermedia,100
90257,El Tintero,Tlaxco,Intermedia,100
90257,El Limón,Tlaxco,Intermedia,100
90257,El Mirador,Tlaxco,Intermedia,100
90257,El Paraje,Tlaxco,Intermedia,100
90257,Clemente Muñoz,Tlaxco,Intermedia,100
90257,El Sotol,Tlaxco,Intermedia,100
90257,San José el Escombro,Tlaxco,Intermedia,100
90257,El Catorce,Tlaxco,Intermedia,100
90257,Diego Muñoz Camargo,Tlaxco,Intermedia,100
90257,Piedra Blanca,Tlaxco,Intermedia,100
90257,La Herradura,Tlaxco,Intermedia,100
90258,Río Blanco (El Doce),Tlaxco,Intermedia,100
90258,La Cieneguilla,Tlaxco,Intermedia,100
90258,Al final de la Senda,Tlaxco,Intermedia,100
90258,Juan Antonio Burle Lomelí,Tlaxco,Intermedia,100
90258,La Paz,Tlaxco,Intermedia,100
90258,Llanos de Teopa (Valle Escondido),Tlaxco,Intermedia,100
90258,Kilómetro 31,Tlaxco,Intermedia,100
90259,Nuevo,Tlaxco,Intermedia,100
90259,Corralillos,Tlaxco,Intermedia,100
90259,Los Panchos,Tlaxco,Intermedia,100
90260,La Magdalena Soltepec,Tlaxco,Intermedia,100
90260,Lagunilla,Tlaxco,Intermedia,100
90260,Soltepec,Tlaxco,Intermedia,100
90261,Las Vigas,Tlaxco,Intermedia,100
90261,Profesor Graciano Sánchez,Tlaxco,Intermedia,100
90261,El Desierto,Tlaxco,Intermedia,100
90261,Cinegético Cruz Verde,Tlaxco,Intermedia,100
90262,Mariano Matamoros,Tlaxco,Intermedia,100
90262,Mazaquiáhuac,Tlaxco,Intermedia,100
90263,Casa Blanca,Tlaxco,Intermedia,100
90264,Ex-Hacienda San Miguel Mimiahuapan,Tlaxco,Intermedia,100
90264,Unión Ejidal Tierra y Libertad,Tlaxco,Intermedia,100
